id,Owner Observation Notes,Clinical Notes,Prescriptions,Level of Criticality
100303,Spotted small moving specks on Parrot's fur,Skin rash spreading around the neck and belly of Parrot,Schedule follow-up appointment in 3 days,Nothing to worry
100627,Cat appears to have trouble walking and prefers to lie down,Cat has excessive tear production and redness in eyes,Limit physical activity for one week,Medium but still consult doctor
100163,Dog appears to have trouble walking and prefers to lie down,Signs of intestinal blockage observed in Dog,Schedule follow-up appointment in 3 days,Low can be treated at home
101217,Parrot appears to have trouble walking and prefers to lie down,Presence of fleas and mites detected on Parrot,Limit physical activity for one week,Very high consult the doctor
101103,Cat has been lethargic and is avoiding playtime,Skin rash spreading around the neck and belly of Cat,Introduce a joint supplement in daily diet,Low can be treated at home
100750,"Hamster has been making unusual sounds, possibly out of discomfort.",Skin rash spreading around the neck and belly of Hamster,Schedule follow-up appointment in 3 days,Low can be treated at home
100972,Hamster has reduced appetite and occasional vomiting,"Stomach upset observed in Hamster, likely due to dietary issues.",Feed with easily digestible food and monitor water intake,Medium but still consult doctor
100760,The Hamster seems painful when he opens his mouth wide to yawn,Hamster has excessive tear production and redness in eyes,Administer prescribed antibiotics for 7 days,Medium but still consult doctor
101787,The Cat is frequently licking her paws,Palpation reveals discomfort in lower back region of Cat,Schedule follow-up appointment in 3 days,Very high consult the doctor
101639,Hamster has patches of missing fur and red skin underneath,Skin rash spreading around the neck and belly of Hamster,Introduce a joint supplement in daily diet,Low can be treated at home
100017,Hamster has been scratching his ears a lot lately,Hamster shows signs of dehydration and fatigue,Maintain flea and tick prevention regimen,Nothing to worry
100131,Parrot has patches of missing fur and red skin underneath,Parrot has joint inflammation likely due to arthritis,Provide anti-inflammatory medication as directed,Very high consult the doctor
100415,Spotted small moving specks on Hamster's fur,Hamster's ear hematoma was drained but filled right back up,Provide anti-inflammatory medication as directed,Very high consult the doctor
100133,The Cat seems painful when she opens her mouth wide to yawn,Cat shows signs of dehydration and fatigue,Provide anti-inflammatory medication as directed,Very high consult the doctor
101593,The Dog keeps shaking his head and tilting it sideways,Dog shows signs of dehydration and fatigue,Introduce a joint supplement in daily diet,Medium but still consult doctor
100440,The Hamster keeps shaking his head and tilting it sideways,Hamster has excessive tear production and redness in eyes,Provide anti-inflammatory medication as directed,Low can be treated at home
101107,Observed that Parrot is not eating and has a bloated stomach,"Parrot exhibits repetitive head shaking, indicating possible infection.",Schedule follow-up appointment in 3 days,Nothing to worry
101263,"Parrot has been making unusual sounds, possibly out of discomfort.",Parrot has excessive tear production and redness in eyes,Schedule follow-up appointment in 3 days,Medium but still consult doctor
101736,Dog has been scratching his ears a lot lately,Palpation reveals discomfort in lower back region of Dog,Feed with easily digestible food and monitor water intake,Medium but still consult doctor
101279,The Parrot keeps shaking her head and tilting it sideways,Parrot has excessive tear production and redness in eyes,Maintain flea and tick prevention regimen,Very high consult the doctor
100100,Observed that Hamster is not eating and has a bloated stomach,Hamster presented with mild swelling in the abdomen and reduced appetite,Provide anti-inflammatory medication as directed,Medium but still consult doctor
100547,Cat has patches of missing fur and red skin underneath,Presence of fleas and mites detected on Cat,Clean affected area with vet-approved solution,Low can be treated at home
100230,Hamster has been lethargic and is avoiding playtime,Hamster shows signs of dehydration and fatigue,Maintain flea and tick prevention regimen,Nothing to worry
100826,The Cat keeps shaking her head and tilting it sideways,Cat has joint inflammation likely due to arthritis,Apply medicated ointment twice daily,Very high consult the doctor
100357,Observed that Cat is not eating and has a bloated stomach,Skin rash spreading around the neck and belly of Cat,Feed with easily digestible food and monitor water intake,Nothing to worry
101957,Spotted small moving specks on Dog's fur,Presence of fleas and mites detected on Dog,Limit physical activity for one week,Medium but still consult doctor
101699,Observed that Dog is not eating and has a bloated stomach,Dog's ear hematoma was drained but filled right back up,Limit physical activity for one week,Medium but still consult doctor
100600,The Parrot seems painful when she opens her mouth wide to yawn,Parrot shows signs of dehydration and fatigue,Feed with easily digestible food and monitor water intake,Medium but still consult doctor
